Order Id,Market,Order Region,Latitude,Longitude
77202,Pacific Asia,Southeast Asia,18.2514534,-66.03705597
75939,Pacific Asia,South Asia,18.27945137,-66.0370636
75938,Pacific Asia,South Asia,37.29223251,-121.881279
75937,Pacific Asia,Oceania,34.12594605,-118.2910156
75936,Pacific Asia,Oceania,18.25376892,-66.03704834
75935,Pacific Asia,Oceania,43.01396942,-78.87906647
75934,Pacific Asia,Eastern Asia,18.24253845,-66.03705597
75933,Pacific Asia,Eastern Asia,25.92886925,-80.16287231
75932,Pacific Asia,Eastern Asia,18.23322296,-66.03705597
75931,Pacific Asia,Eastern Asia,37.77399063,-121.966629
75930,Pacific Asia,Eastern Asia,18.28284454,-66.03705597
75929,Pacific Asia,Southeast Asia,40.65486527,-73.58707428
75928,Pacific Asia,Southeast Asia,36.6763382,-121.656517
75927,Pacific Asia,South Asia,18.27843857,-66.03705597
75926,Pacific Asia,South Asia,42.52627564,-70.92703247
75925,Pacific Asia,South Asia,18.28404999,-66.03705597
75924,Pacific Asia,Eastern Asia,18.3957901,-65.87288666
75923,Pacific Asia,South Asia,33.89869309,-118.1745605
75922,Pacific Asia,South Asia,18.233778,-66.0370636
75921,Pacific Asia,South Asia,42.04830551,-87.96134186
75920,Pacific Asia,South Asia,33.78245163,-118.1922455
75919,Pacific Asia,South Asia,18.28337669,-66.03705597
75918,Pacific Asia,Oceania,38.61177445,-121.2828674
75917,Pacific Asia,Oceania,18.20733643,-66.03705597
75916,Pacific Asia,Oceania,45.78831101,-108.5594101
75915,Pacific Asia,Oceania,18.26163292,-66.03705597
75914,Pacific Asia,Oceania,41.23545456,-75.86985779
75913,Pacific Asia,Eastern Asia,18.27022362,-66.0370636
75912,Pacific Asia,Eastern Asia,41.86886215,-84.57365418
75911,Pacific Asia,Eastern Asia,33.90942383,-118.1253586
75910,Pacific Asia,Eastern Asia,18.27526093,-66.0370636
75909,Pacific Asia,South Asia,41.86544037,-88.10990143
75908,Pacific Asia,South Asia,18.28713608,-66.03705597
75907,Pacific Asia,Eastern Asia,42.39110184,-83.13121796
75906,Pacific Asia,Eastern Asia,32.86539459,-96.86858368
75905,Pacific Asia,Southeast Asia,18.24074173,-66.03705597
75904,Pacific Asia,South Asia,40.03171921,-76.87709808
75903,Pacific Asia,Oceania,32.81010819,-96.68649292
75902,Pacific Asia,Oceania,18.28604889,-66.03705597
75901,Pacific Asia,Oceania,39.68188095,-75.64421082
75900,Pacific Asia,Southeast Asia,34.15893936,-118.1809387
75899,Pacific Asia,Southeast Asia,18.28294563,-66.0370636
75898,Pacific Asia,Southeast Asia,33.81632614,-84.44550324
75897,Pacific Asia,Southeast Asia,18.24103928,-66.0370636
75896,Pacific Asia,Oceania,37.49027634,-121.9271088
75895,Pacific Asia,South Asia,18.26469612,-66.03705597
75894,Pacific Asia,South Asia,43.18824005,-77.56706238
75893,Pacific Asia,Eastern Asia,32.753685,-96.86553955
28744,Pacific Asia,South Asia,18.38011932,-66.18312836
45461,Pacific Asia,West Asia,18.23557282,-66.3706131
31115,Pacific Asia,Oceania,18.02536774,-66.61303711
45766,Pacific Asia,West Asia,18.27383804,-66.37063599
47752,Pacific Asia,Eastern Asia,18.2848053,-66.37059021
50054,Pacific Asia,West Asia,18.29496765,-66.37050629
20365,Pacific Asia,South Asia,18.25571251,-66.37050629
36146,USCA,West of USA ,18.23466301,-66.37059784
41234,USCA,West of USA ,18.26268196,-66.37049866
32090,USCA,West of USA ,18.28279495,-66.37055969
34773,USCA,US Center ,18.27466202,-66.37058258
44046,Africa,West Africa,18.2689991,-66.37049866
46414,Africa,Central Africa,18.2308178,-66.37052155
46599,Africa,West Africa,18.26138115,-66.37056732
48434,Africa,North Africa,18.23650742,-66.37051392
12827,Europe,Western Europe,18.35921478,-66.07779694
63936,Europe,Western Europe,18.29944229,-66.37052155
65030,Europe,Western Europe,18.28996849,-66.37054443
18108,Europe,Western Europe,18.2275734,-66.04563141
62571,Europe,Northern Europe,18.2988205,-66.37059784
17162,Europe,Northern Europe,18.02538109,-66.61508179
65922,Europe,Western Europe,18.25048637,-66.37062836
63936,Europe,Western Europe,18.29944229,-66.37052155
64813,Europe,Northern Europe,18.24069786,-66.37055969
67892,Europe,Western Europe,18.26268196,-66.37049866
12525,Europe,Western Europe,18.21209908,-66.37050629
5895,LATAM,Central America,18.23131371,-66.37062836
56359,LATAM,Central America,18.29652023,-66.04867554
58613,LATAM,Central America,18.28746414,-66.37054443
7824,LATAM,Caribbean,18.29108048,-66.37050629
7814,LATAM,South America,18.24984551,-66.37050629
7814,LATAM,South America,18.24984551,-66.37050629
60807,LATAM,Caribbean,18.25671768,-66.37062836
53413,LATAM,South America,18.24754334,-66.0253067
7888,LATAM,Central America,18.27673721,-66.37055206
6783,LATAM,Central America,18.2968483,-66.37050629
56973,LATAM,South America,18.29609299,-66.37050629
7824,LATAM,Caribbean,18.29108048,-66.37050629
55155,LATAM,Central America,18.2105732,-66.37058258
5991,LATAM,Central America,18.20111656,-66.37059021
2263,LATAM,Central America,18.21469116,-66.37051392
2263,LATAM,Central America,18.21469116,-66.37051392
53403,LATAM,Central America,18.28425598,-66.37058258
51298,LATAM,South America,18.20666885,-66.37056732
4919,LATAM,South America,18.35907555,-66.07783508
52640,LATAM,South America,18.26378822,-66.37052918
6358,LATAM,South America,18.20330429,-66.37052155
57106,LATAM,South America,18.22487068,-66.37052155
