Order Id,Category Id,Category Name,Department Id,Department Name,Order Item Cardprod Id,Order Item Id,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Status
77202,73,Sporting Goods,2,Fitness,1360,180517,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75939,73,Sporting Goods,2,Fitness,1360,179254,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75938,73,Sporting Goods,2,Fitness,1360,179253,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75937,73,Sporting Goods,2,Fitness,1360,179252,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75936,73,Sporting Goods,2,Fitness,1360,179251,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75935,73,Sporting Goods,2,Fitness,1360,179250,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75934,73,Sporting Goods,2,Fitness,1360,179249,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75933,73,Sporting Goods,2,Fitness,1360,179248,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75932,73,Sporting Goods,2,Fitness,1360,179247,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75931,73,Sporting Goods,2,Fitness,1360,179246,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75930,73,Sporting Goods,2,Fitness,1360,179245,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75929,73,Sporting Goods,2,Fitness,1360,179244,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75928,73,Sporting Goods,2,Fitness,1360,179243,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75927,73,Sporting Goods,2,Fitness,1360,179242,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75926,73,Sporting Goods,2,Fitness,1360,179241,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75925,73,Sporting Goods,2,Fitness,1360,179240,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75924,73,Sporting Goods,2,Fitness,1360,179239,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75923,73,Sporting Goods,2,Fitness,1360,179238,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75922,73,Sporting Goods,2,Fitness,1360,179237,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75921,73,Sporting Goods,2,Fitness,1360,179236,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75920,73,Sporting Goods,2,Fitness,1360,179235,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75919,73,Sporting Goods,2,Fitness,1360,179234,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75918,73,Sporting Goods,2,Fitness,1360,179233,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75917,73,Sporting Goods,2,Fitness,1360,179232,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75916,73,Sporting Goods,2,Fitness,1360,179231,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75915,73,Sporting Goods,2,Fitness,1360,179230,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75914,73,Sporting Goods,2,Fitness,1360,179229,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75913,73,Sporting Goods,2,Fitness,1360,179228,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75912,73,Sporting Goods,2,Fitness,1360,179227,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75911,73,Sporting Goods,2,Fitness,1360,179226,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75910,73,Sporting Goods,2,Fitness,1360,179225,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75909,73,Sporting Goods,2,Fitness,1360,179224,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75908,73,Sporting Goods,2,Fitness,1360,179223,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75907,73,Sporting Goods,2,Fitness,1360,179222,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75906,73,Sporting Goods,2,Fitness,1360,179221,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75905,73,Sporting Goods,2,Fitness,1360,179220,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75904,73,Sporting Goods,2,Fitness,1360,179219,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75903,73,Sporting Goods,2,Fitness,1360,179218,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75902,73,Sporting Goods,2,Fitness,1360,179217,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75901,73,Sporting Goods,2,Fitness,1360,179216,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75900,73,Sporting Goods,2,Fitness,1360,179215,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75899,73,Sporting Goods,2,Fitness,1360,179214,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75898,73,Sporting Goods,2,Fitness,1360,179213,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75897,73,Sporting Goods,2,Fitness,1360,179212,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75896,73,Sporting Goods,2,Fitness,1360,179211,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75895,73,Sporting Goods,2,Fitness,1360,179210,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75894,73,Sporting Goods,2,Fitness,1360,179209,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
75893,73,Sporting Goods,2,Fitness,1360,179208,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,0
28744,17,Cleats,4,Apparel,365,71956,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
45461,29,Shop By Sport,5,Golf,627,113598,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,0
31115,24,Women's Apparel,5,Golf,502,77757,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,0
45766,29,Shop By Sport,5,Golf,627,114401,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,0
47752,24,Women's Apparel,5,Golf,502,119405,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,0
50054,24,Women's Apparel,5,Golf,502,125135,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,0
20365,24,Women's Apparel,5,Golf,502,50842,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,0
36146,13,Electronics,3,Footwear,278,90273,278,13,,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide,Under Armour Men's Compression EV SL Slide,0
41234,12,Boxing & MMA,3,Footwear,249,102921,249,12,,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe,Under Armour Women's Micro G Skulpt Running S,0
32090,17,Cleats,4,Apparel,365,80250,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
34773,17,Cleats,4,Apparel,365,86866,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
44046,9,Cardio Equipment,3,Footwear,191,110025,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,0
46414,29,Shop By Sport,5,Golf,627,116033,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,0
46599,41,Trade-In,6,Outdoors,917,116462,917,41,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag,Glove It Women's Mod Oval 3-Zip Carry All Gol,0
48434,37,Electronics,6,Outdoors,828,121134,828,37,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,Bridgestone e6 Straight Distance NFL San Dieg,0
12827,9,Cardio Equipment,3,Footwear,191,32072,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,0
63936,9,Cardio Equipment,3,Footwear,191,159828,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,0
65030,9,Cardio Equipment,3,Footwear,191,162548,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,0
18108,17,Cleats,4,Apparel,365,45253,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
62571,17,Cleats,4,Apparel,365,156394,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
17162,17,Cleats,4,Apparel,365,42919,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,0
